Order ID,Returned
ES-2021-5897153,Yes
ES-2021-5923089,Yes
ES-2021-5923089,Yes
ES-2021-5923089,Yes
ES-2021-5923089,Yes
ES-2021-5923089,Yes
ES-2021-5944655,Yes
ES-2021-5959969,Yes
ES-2022-1072619,Yes
ES-2022-1093488,Yes
ES-2022-1217902,Yes
ES-2022-1217902,Yes
ES-2022-1268416,Yes
ES-2022-1268416,Yes
ES-2022-1341762,Yes
ES-2022-1525878,Yes
ES-2022-1525878,Yes
ES-2022-1610512,Yes
ES-2022-1706935,Yes
ES-2022-1706935,Yes
ES-2022-1706935,Yes
ES-2022-1713812,Yes
ES-2022-1727818,Yes
ES-2022-1727818,Yes
ES-2022-1785128,Yes
ES-2022-1795340,Yes
ES-2022-1835691,Yes
ES-2022-1874583,Yes
ES-2022-1874583,Yes
ES-2022-1874583,Yes
ES-2022-1874583,Yes
ES-2022-1906012,Yes
ES-2022-1906012,Yes
ES-2022-1906012,Yes
ES-2022-1925248,Yes
ES-2022-2003988,Yes
ES-2022-2003988,Yes
ES-2022-2003988,Yes
ES-2022-2003988,Yes
ES-2022-2003988,Yes
ES-2022-2003988,Yes
ES-2022-2048769,Yes
ES-2022-2048769,Yes
ES-2022-2048769,Yes
ES-2022-2091965,Yes
ES-2022-2091965,Yes
ES-2022-2091965,Yes
ES-2022-2091965,Yes
ES-2022-2310454,Yes
ES-2022-2310454,Yes
ES-2022-2310454,Yes
ES-2022-2310454,Yes
ES-2022-2335535,Yes
ES-2022-2339975,Yes
ES-2022-2406661,Yes
ES-2022-2491395,Yes
ES-2022-2491395,Yes
ES-2022-2491395,Yes
ES-2022-2491395,Yes
ES-2022-2491395,Yes
ES-2022-2603153,Yes
ES-2022-2638509,Yes
ES-2022-2639112,Yes
ES-2022-2645491,Yes
ES-2022-2745392,Yes
ES-2022-3007238,Yes
ES-2022-3061639,Yes
ES-2022-3061639,Yes
ES-2022-3078948,Yes
ES-2022-3093926,Yes
ES-2022-3093926,Yes
ES-2022-3159008,Yes
ES-2022-3159008,Yes
ES-2022-3159008,Yes
ES-2022-3159008,Yes
ES-2022-3159008,Yes
ES-2022-3159008,Yes
ES-2022-3159008,Yes
ES-2022-3159008,Yes
ES-2022-3159008,Yes
ES-2022-3159008,Yes
ES-2022-3285003,Yes
ES-2022-3323529,Yes
ES-2022-3323529,Yes
ES-2022-3425110,Yes
ES-2022-3446925,Yes
ES-2022-3446925,Yes
ES-2022-3446925,Yes
ES-2022-3508441,Yes
ES-2022-3508441,Yes
ES-2022-3508441,Yes
ES-2022-3508441,Yes
ES-2022-3547323,Yes
ES-2022-3570218,Yes
ES-2022-3570218,Yes
ES-2022-3877962,Yes
ES-2022-3877962,Yes
ES-2022-3927096,Yes
ES-2022-3927096,Yes
ES-2022-3927096,Yes
ES-2022-3927096,Yes
ES-2022-3927096,Yes
ES-2022-3988133,Yes
ES-2022-3988133,Yes
ES-2022-3988133,Yes
ES-2022-4009230,Yes
ES-2022-4009230,Yes
ES-2022-4116050,Yes
ES-2022-4116050,Yes
ES-2022-4184078,Yes
ES-2022-4190886,Yes
ES-2022-4375143,Yes
ES-2022-4429605,Yes
ES-2022-4441922,Yes
ES-2022-4441922,Yes
ES-2022-4487295,Yes
ES-2022-4487295,Yes
ES-2022-4487295,Yes
ES-2022-4569090,Yes
ES-2022-4569090,Yes
ES-2022-4569090,Yes
ES-2022-4569090,Yes
ES-2022-4569090,Yes
ES-2022-4650117,Yes
ES-2022-4790317,Yes
ES-2022-4897406,Yes
ES-2022-4972434,Yes
ES-2022-5002349,Yes
ES-2022-5002349,Yes
ES-2022-5106699,Yes
ES-2022-5106699,Yes
ES-2022-5106699,Yes
ES-2022-5239444,Yes
ES-2022-5246151,Yes
ES-2022-5246151,Yes
ES-2022-5246151,Yes
ES-2022-5246151,Yes
ES-2022-5246151,Yes
ES-2022-5246295,Yes
ES-2022-5259588,Yes
ES-2022-5616549,Yes
ES-2022-5616549,Yes
ES-2022-5623189,Yes
ES-2022-5623189,Yes
ES-2022-5648133,Yes
ES-2022-5685466,Yes
ES-2022-5734148,Yes
ES-2022-5734148,Yes
ES-2022-5746149,Yes
ES-2022-5881573,Yes
ES-2022-5881573,Yes
ES-2022-5911126,Yes
ES-2022-5911126,Yes
ES-2023-1006059,Yes
ES-2023-1006059,Yes
ES-2023-1006842,Yes
ES-2023-1006842,Yes
ES-2023-1006842,Yes
ES-2023-1012006,Yes
ES-2023-1012006,Yes
ES-2023-1015287,Yes
ES-2023-1015287,Yes
ES-2023-1178010,Yes
ES-2023-1182889,Yes
ES-2023-1193193,Yes
ES-2023-1197792,Yes
ES-2023-1197792,Yes
ES-2023-1197792,Yes
ES-2023-1197792,Yes
ES-2023-1224526,Yes
ES-2023-1224526,Yes
ES-2023-1224526,Yes
ES-2023-1224526,Yes
ES-2023-1325616,Yes
ES-2023-1325616,Yes
ES-2023-1398657,Yes
ES-2023-1526550,Yes
ES-2023-1620754,Yes
ES-2023-1627638,Yes
ES-2023-1637041,Yes
ES-2023-1637041,Yes
ES-2023-1651774,Yes
ES-2023-1651774,Yes
ES-2023-1651774,Yes
ES-2023-1651774,Yes
ES-2023-1703772,Yes
ES-2023-1703772,Yes
ES-2023-1734818,Yes
ES-2023-1734818,Yes
ES-2023-1734818,Yes
ES-2023-1873734,Yes
ES-2023-2042578,Yes
ES-2023-2228032,Yes
ES-2023-2228032,Yes
ES-2023-2228032,Yes
ES-2023-2280822,Yes
ES-2023-2280822,Yes
ES-2023-2280822,Yes
ES-2023-2280822,Yes
ES-2023-2280822,Yes
ES-2023-2280822,Yes
ES-2023-2299862,Yes
ES-2023-2299862,Yes
ES-2023-2299862,Yes
ES-2023-2385129,Yes
ES-2023-2385129,Yes
ES-2023-2385129,Yes
ES-2023-2411166,Yes
ES-2023-2411166,Yes
ES-2023-2411166,Yes
ES-2023-2439745,Yes
ES-2023-2504689,Yes
ES-2023-2524646,Yes
ES-2023-2524646,Yes
ES-2023-2524646,Yes
ES-2023-2557751,Yes
ES-2023-2557751,Yes
ES-2023-2557751,Yes
ES-2023-2638373,Yes
ES-2023-2697033,Yes
ES-2023-2731678,Yes
ES-2023-2769035,Yes
ES-2023-2769035,Yes
ES-2023-2769035,Yes
ES-2023-2769035,Yes
ES-2023-2769035,Yes
ES-2023-2769035,Yes
ES-2023-2769035,Yes
ES-2023-2769035,Yes
ES-2023-2769035,Yes
ES-2023-2783426,Yes
ES-2023-2783426,Yes
ES-2023-2783426,Yes
ES-2023-2851130,Yes
ES-2023-2901069,Yes
ES-2023-2901069,Yes
ES-2023-2901069,Yes
ES-2023-2905780,Yes
ES-2023-2933395,Yes
ES-2023-2933395,Yes
ES-2023-2933395,Yes
ES-2023-2933395,Yes
ES-2023-2933395,Yes
ES-2023-2933395,Yes
ES-2023-2979530,Yes
ES-2023-3277356,Yes
ES-2023-3277356,Yes
ES-2023-3277356,Yes
ES-2023-3380674,Yes
ES-2023-3380674,Yes
ES-2023-3424970,Yes
ES-2023-3609825,Yes
ES-2023-3638264,Yes
ES-2023-3730302,Yes
ES-2023-3730302,Yes
ES-2023-4079805,Yes
ES-2023-4079805,Yes
ES-2023-4079805,Yes
ES-2023-4147581,Yes
ES-2023-4295205,Yes
ES-2023-4359397,Yes
ES-2023-4385660,Yes
ES-2023-4385660,Yes
ES-2023-4385660,Yes
ES-2023-4387160,Yes
ES-2023-4387160,Yes
ES-2023-4401602,Yes
ES-2023-4442693,Yes
ES-2023-4472745,Yes
ES-2023-4472745,Yes
ES-2023-4505254,Yes
ES-2023-4505254,Yes
ES-2023-4535588,Yes
ES-2023-4535588,Yes
ES-2023-4535588,Yes
ES-2023-4535588,Yes
ES-2023-4535588,Yes
ES-2023-4535588,Yes
ES-2023-4535588,Yes
ES-2023-4598380,Yes
ES-2023-4598380,Yes
ES-2023-4598380,Yes
ES-2023-4598380,Yes
ES-2023-4616921,Yes
ES-2023-4616921,Yes
ES-2023-4626156,Yes
ES-2023-4790238,Yes
ES-2023-4856325,Yes
ES-2023-4856325,Yes
ES-2023-4856325,Yes
ES-2023-4963892,Yes
ES-2023-4963892,Yes
ES-2023-4967939,Yes
ES-2023-5060319,Yes
ES-2023-5166372,Yes
ES-2023-5166372,Yes
ES-2023-5247585,Yes
ES-2023-5247585,Yes
ES-2023-5247585,Yes
ES-2023-5247585,Yes
ES-2023-5247585,Yes
ES-2023-5275437,Yes
ES-2023-5296123,Yes
ES-2023-5296123,Yes
ES-2023-5297792,Yes
ES-2023-5297792,Yes
ES-2023-5297792,Yes
ES-2023-5368780,Yes
ES-2023-5385720,Yes
ES-2023-5389384,Yes
ES-2023-5389384,Yes
ES-2023-5438886,Yes
ES-2023-5438886,Yes
ES-2023-5438886,Yes
ES-2023-5444511,Yes
ES-2023-5513140,Yes
ES-2023-5621218,Yes
ES-2023-5621218,Yes
ES-2023-5621218,Yes
ES-2023-5621218,Yes
ES-2023-5666305,Yes
ES-2023-5706764,Yes
ES-2023-5710826,Yes
ES-2023-5710826,Yes
ES-2023-5762425,Yes
ES-2023-5762425,Yes
ES-2023-5822421,Yes
ES-2023-5822421,Yes
ES-2023-5822421,Yes
ES-2023-5822421,Yes
ES-2023-5822421,Yes
ES-2023-5830221,Yes
ES-2023-5835827,Yes
ES-2023-5835827,Yes
ES-2023-5891109,Yes
ES-2023-5891109,Yes
ES-2023-5891109,Yes
ES-2023-5891109,Yes
ES-2023-5891109,Yes
ES-2023-5891109,Yes
ES-2023-5900887,Yes
ES-2023-5900887,Yes
ES-2023-5900887,Yes
ES-2023-5900887,Yes
ES-2023-5900887,Yes
ES-2023-5900887,Yes
ES-2023-5900887,Yes
IT-2020-1521406,Yes
IT-2020-1521406,Yes
IT-2020-1521406,Yes
IT-2020-1646767,Yes
IT-2020-1646767,Yes
IT-2020-2536577,Yes
IT-2020-2536577,Yes
IT-2020-2536577,Yes
IT-2020-2536577,Yes
IT-2020-2536577,Yes
IT-2020-2536577,Yes
IT-2020-2536577,Yes
IT-2020-2536577,Yes
IT-2020-2861112,Yes
IT-2020-2861112,Yes
IT-2020-2861112,Yes
IT-2020-2911544,Yes
IT-2020-3468929,Yes
IT-2020-4648014,Yes
IT-2020-4648014,Yes
IT-2020-4648014,Yes
IT-2020-4648014,Yes
IT-2020-4812190,Yes
IT-2020-4913414,Yes
IT-2020-4913414,Yes
IT-2020-4913414,Yes
IT-2021-1180980,Yes
IT-2021-1180980,Yes
IT-2021-3091951,Yes
IT-2021-3091951,Yes
IT-2021-3613157,Yes
IT-2021-3613157,Yes
IT-2021-3746228,Yes
IT-2021-3986604,Yes
IT-2021-5711400,Yes
IT-2021-5711400,Yes
IT-2021-5711400,Yes
IT-2021-5711400,Yes
IT-2022-1498487,Yes
IT-2022-1498487,Yes
IT-2022-1498487,Yes
IT-2022-1498487,Yes
IT-2022-1498487,Yes
IT-2022-1665440,Yes
IT-2022-2280110,Yes
IT-2022-2720003,Yes
IT-2022-2720003,Yes
IT-2022-3060899,Yes
IT-2022-3060899,Yes
IT-2022-3060899,Yes
IT-2022-3132916,Yes
IT-2022-3132916,Yes
IT-2022-3159247,Yes
IT-2022-3253363,Yes
IT-2022-3395178,Yes
IT-2022-3395178,Yes
IT-2022-3395178,Yes
IT-2022-3395178,Yes
IT-2022-3468927,Yes
IT-2022-3468927,Yes
IT-2022-3468927,Yes
IT-2022-3876077,Yes
IT-2022-4354136,Yes
IT-2022-4354136,Yes
IT-2022-4354136,Yes
IT-2022-4864604,Yes
IT-2022-4864604,Yes
IT-2022-4864604,Yes
IT-2022-4869515,Yes
IT-2022-4962578,Yes
IT-2023-1082723,Yes
IT-2023-1082723,Yes
IT-2023-1147467,Yes
IT-2023-1147467,Yes
IT-2023-1147467,Yes
IT-2023-1725451,Yes
IT-2023-1858881,Yes
IT-2023-1858881,Yes
IT-2023-2068457,Yes
IT-2023-2277753,Yes
IT-2023-2277753,Yes
IT-2023-2508683,Yes
IT-2023-2508683,Yes
IT-2023-3831682,Yes
IT-2023-3941500,Yes
IT-2023-4273010,Yes
IT-2023-4273010,Yes
IT-2023-4273010,Yes
IT-2023-4273010,Yes
IT-2023-4499061,Yes
IT-2023-4499061,Yes
IT-2023-4499061,Yes
IT-2023-4920187,Yes
IT-2023-5465876,Yes
IT-2023-5470294,Yes
IT-2023-5470294,Yes
IT-2023-5470294,Yes
IT-2023-5470294,Yes
IT-2023-5470294,Yes
IT-2023-5470294,Yes
IT-2023-5517515,Yes
